@RELATION 'cellcycle0.names'

@ATTRIBUTE cln3-1 numeric
@ATTRIBUTE cln3-2 numeric
@ATTRIBUTE clb2-2 numeric
@ATTRIBUTE clb2-1 numeric
@ATTRIBUTE alpha0 numeric
@ATTRIBUTE alpha7 numeric
@ATTRIBUTE alpha14 numeric
@ATTRIBUTE alpha21 numeric
@ATTRIBUTE alpha28 numeric
@ATTRIBUTE alpha35 numeric
@ATTRIBUTE alpha42 numeric
@ATTRIBUTE alpha49 numeric
@ATTRIBUTE alpha56 numeric
@ATTRIBUTE alpha63 numeric
@ATTRIBUTE alpha70 numeric
@ATTRIBUTE alpha77 numeric
@ATTRIBUTE alpha84 numeric
@ATTRIBUTE alpha91 numeric
@ATTRIBUTE alpha98 numeric
@ATTRIBUTE alpha105 numeric
@ATTRIBUTE alpha112 numeric
@ATTRIBUTE alpha119 numeric
@ATTRIBUTE cdc15_10 numeric
@ATTRIBUTE cdc15_30 numeric
@ATTRIBUTE cdc15_50 numeric
@ATTRIBUTE cdc15_70 numeric
@ATTRIBUTE cdc15_80 numeric
@ATTRIBUTE cdc15_90 numeric
@ATTRIBUTE cdc15_100 numeric
@ATTRIBUTE cdc15_110 numeric
@ATTRIBUTE cdc15_120 numeric
@ATTRIBUTE cdc15_130 numeric
@ATTRIBUTE cdc15_140 numeric
@ATTRIBUTE cdc15_150 numeric
@ATTRIBUTE cdc15_160 numeric
@ATTRIBUTE cdc15_170 numeric
@ATTRIBUTE cdc15_180 numeric
@ATTRIBUTE cdc15_190 numeric
@ATTRIBUTE cdc15_200 numeric
@ATTRIBUTE cdc15_210 numeric
@ATTRIBUTE cdc15_220 numeric
@ATTRIBUTE cdc15_230 numeric
@ATTRIBUTE cdc15_240 numeric
@ATTRIBUTE cdc15_250 numeric
@ATTRIBUTE cdc15_270 numeric
@ATTRIBUTE cdc15_290 numeric
@ATTRIBUTE cdc28_0 numeric
@ATTRIBUTE cdc28_10 numeric
@ATTRIBUTE cdc28_20 numeric
@ATTRIBUTE cdc28_30 numeric
@ATTRIBUTE cdc28_40 numeric
@ATTRIBUTE cdc28_50 numeric
@ATTRIBUTE cdc28_60 numeric
@ATTRIBUTE cdc28_70 numeric
@ATTRIBUTE cdc28_80 numeric
@ATTRIBUTE cdc28_90 numeric
@ATTRIBUTE cdc28_100 numeric
@ATTRIBUTE cdc28_110 numeric
@ATTRIBUTE cdc28_120 numeric
@ATTRIBUTE cdc28_130 numeric
@ATTRIBUTE cdc28_140 numeric
@ATTRIBUTE cdc28_150 numeric
@ATTRIBUTE cdc28_160 numeric
@ATTRIBUTE elu0 numeric
@ATTRIBUTE elu30 numeric
@ATTRIBUTE elu60 numeric
@ATTRIBUTE elu90 numeric
@ATTRIBUTE elu120 numeric
@ATTRIBUTE elu150 numeric
@ATTRIBUTE elu180 numeric
@ATTRIBUTE elu210 numeric
@ATTRIBUTE elu240 numeric
@ATTRIBUTE elu270 numeric
@ATTRIBUTE elu300 numeric
@ATTRIBUTE elu330 numeric
@ATTRIBUTE elu360 numeric
@ATTRIBUTE elu390 numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
0.15,?,-0.22,0.07,-0.15,-0.15,-0.21,0.17,-0.42,-0.44,-0.15,0.24,-0.1,?,0.18,0.42,-0.25,-0.01,-0.13,0.77,-0.21,0.43,-0.16,0.09,-0.23,0.03,-0.04,-0.12,-0.28,-0.44,-0.09,0.12,0.06,-0.04,0.31,0.59,0.34,-0.28,-0.09,-0.44,0.31,0.03,0.57,0,0.02,-0.26,-0.19,-0.77,-0.17,-0.19,0.13,-0.36,-0.55,-0.07,-0.01,0.03,0.27,0.49,0.85,0.66,-0.24,0.03,0.09,0.3,-0.12,0.24,0.18,-0.24,0.11,-0.12,0.37,0.07,-0.09,-0.32,0.04,-0.48,0.04,4/1/1/0@4/3/1/0@40/10/0/0 %  ytyal001c
-1.22,-0.27,-0.1,0.23,-0.14,-0.71,0.1,-0.32,-0.4,-0.58,0.11,0.21,0.09,0.57,-0.14,0.29,0.01,0.04,0.05,0.55,-0.08,0.33,-0.37,-0.22,-0.16,0.04,0.53,-0.25,0.08,-0.24,0.37,-0.22,0.16,-0.21,0.03,0.03,0.48,?,0.22,-0.06,0.08,0.56,0.48,-0.47,-0.45,-0.41,-0.36,-0.22,0.22,-0.28,0.41,-0.8,0.42,0.05,-0.47,1.06,-2.82,0.38,-0.22,0.47,0.89,0.48,0.8,-1.54,-0.3,?,0.39,0.18,0.28,0.15,0.4,0.24,0.22,-0.27,-0.1,0.34,0.02,40/3/0/0@5/4/2/0 %  ytyal003w
-0.09,1.2,0.16,-0.14,-0.02,-0.48,-0.11,0.12,-0.03,0.19,0.13,0.76,0.07,0.04,-0.06,0.3,-0.47,-0.16,-0.11,0.23,-0.45,0.02,?,?,?,-1.5,-0.03,-1.2,-0.06,-1.78,0.14,-1.13,-0.13,-1.27,-0.27,-0.94,0.14,?,1.04,0.48,1.94,1.62,1.73,1.22,?,?,1.64,1.14,0.88,-0.07,0.03,-1.18,0.07,-0.34,-0.73,-0.18,-0.6,-0.16,-0.12,-0.38,0.01,?,?,0.36,0.1,0.11,0.14,-0.15,-0.73,-0.79,-0.2,0.34,0.07,-0.59,0.35,0.66,0.32,1/1/1/0 %  ytyal004w
-0.6,1.01,0.24,0.65,-0.05,-0.53,-0.47,-0.06,0.11,-0.07,0.25,0.46,0.12,0.49,-0.42,0.28,-0.3,-0.18,-0.3,0.68,-0.24,0.22,-0.43,-1.33,-1.53,-1.53,-0.37,-1.65,-0.71,-1.53,-0.1,-1.15,-0.33,-1.15,-0.19,-0.84,0.52,?,1.18,0.88,1.8,2.24,2.34,1.43,1.27,1.18,1.55,1.58,1.34,0.01,0.53,-0.8,-0.16,-0.61,-0.9,-0.07,-0.96,-0.53,-0.66,?,-0.27,-0.41,0.35,-0.09,-0.02,?,0.25,-0.45,-0.83,-0.26,-0.16,0.3,0.21,-0.43,0.21,0.6,0.65,11/1/0/0@40/3/0/0@6/1/0/0@6/4/0/0@8/1/0/0 %  ytyal005c
0.25,-0.79,-0.22,-0.54,-0.03,-0.27,0.17,-0.12,-0.27,0.06,0.23,0.11,0.03,-0.27,-0.24,0.36,-0.11,0,-0.27,0.46,0.23,-0.06,?,-0.02,0,0.07,0.14,0.17,0.23,0.19,-0.1,0,-0.21,0.01,-0.13,-1.38,0.16,0.05,0.29,0.04,0.39,-0.21,0.29,0,0,0.03,0.39,-0.87,-0.13,-0.71,0.2,-0.73,0.28,0.25,0.1,0.06,0.18,0.5,0.33,0.06,?,-0.35,0.44,0.49,0.23,0.06,0.32,0.12,0.12,0.29,-0.1,-0.41,-0.65,-0.07,-0.35,-0.19,0.15,14/4/3/5@3/3/2/0@30/10/0/0@40/10/0/0@40/7/0/0 %  ytyal009w
-0.12,-0.54,-0.12,-0.18,0,-0.01,0.12,-0.23,-0.13,0.25,0.3,-0.27,0.38,-0.06,-0.18,-0.16,-0.27,-0.16,0.09,0.09,0.22,0,?,0.08,0.11,-0.49,0.25,-0.04,0.55,0.17,0.33,-0.09,-0.49,0.16,-1.35,-0.39,0.42,-0.31,0.14,0.08,0.54,0.65,0.25,-0.16,-0.58,0.14,0.26,0.3,0.07,-0.5,0,-0.4,0.2,0.21,-0.11,0.46,-0.19,-0.08,0.04,-0.22,?,-0.07,0.05,-0.3,-0.35,0.07,0.09,0.21,-0.4,-0.18,0.12,0.33,-0.03,-0.16,0.33,0.28,0.01,11/1/0/0@3/1/5/1 %  ytyal015c
-0.22,-0.86,-0.25,0.89,-0.36,-0.42,0.29,-0.14,-0.19,-0.52,0.04,0.04,0.37,0.24,0.13,0.22,0.04,-0.24,-0.22,-0.1,0.22,0.61,0.13,-0.24,-0.59,-0.57,-0.09,-0.34,0.49,0.32,1.15,0.2,0.31,-0.28,-0.01,-0.48,-0.4,-0.59,0.54,-0.09,1.03,0.08,0.57,-0.26,-0.36,-0.55,-0.63,-0.66,-0.24,-0.82,-0.84,-0.89,0.57,0.64,0.54,0.66,0.28,-0.01,-0.26,0.11,?,0.71,0.81,-1.16,-0.71,-0.71,-0.24,-0.75,-0.11,-0.42,-0.01,0.53,0.58,1.49,0.72,0.51,0.29,1/3/19/0 %  ytyal022c
-0.18,-1.03,-0.45,0.18,0.06,0.03,-0.16,-0.41,0.06,-0.56,0.04,0.13,-0.06,0.39,-0.28,0.37,0.04,-0.01,-0.21,0.61,-0.24,0.19,-0.21,-0.23,-0.16,-0.14,0.7,-0.43,0.32,-0.16,0.59,-0.18,0.37,-0.31,0.54,-0.76,0.37,?,0.1,-0.37,0.49,0.46,0.04,-0.29,-0.35,-0.39,-0.31,-0.5,-0.08,?,0.12,-0.3,0.55,0.01,-0.02,0.43,-0.03,-0.04,0.31,?,0.15,-0.17,-0.11,-0.64,-0.51,?,0.18,-0.09,-0.17,0.15,-0.05,0.4,0.8,-0.11,0.25,-0.59,0.39,40/8/0/0@67/4/1/2@67/50/22/0@8/7/0/0 %  ytyal026c
0.06,-0.06,-0.14,0.14,-0.35,-0.91,-0.6,-0.32,-0.22,0.17,-0.15,0.2,0.13,-0.13,0.56,0.52,-0.23,0.02,0.5,0.69,-0.22,0.34,?,?,?,-0.2,0.17,-0.36,0.21,-0.48,0.09,-0.22,0.14,1.29,-0.2,-0.22,-0.28,?,-0.1,-0.24,0.42,1.92,-0.32,-1.63,?,?,-0.88,0.1,0.53,-0.24,0,-0.18,0.43,0.07,-0.17,0.58,-0.12,-0.07,-0.02,?,0.25,-0.33,0.02,-0.51,-0.08,-0.15,0.36,0.43,0.36,0.25,0.12,-0.05,0.04,-0.05,-0.14,-0.27,-0.3,40/3/0/0@5/4/1/0 %  ytyal035w
-1.18,-0.97,-0.43,0.11,0.36,-0.02,0.19,-0.45,0.06,0.23,-0.13,-0.08,0.17,0.13,0.09,-0.16,-0.18,-0.41,0.21,0.04,0.09,-0.15,0.74,0.34,-0.24,-0.14,-1.22,-0.16,-0.21,0.2,-0.47,0.35,0.11,0.52,-0.48,-0.13,-0.26,-0.03,-0.2,0.11,-0.05,0.34,-0.41,0.52,0.29,0.43,0.83,0.1,-0.31,-0.49,0.06,-0.67,-0.01,0,-0.1,0.68,0.33,0.13,-0.29,?,-0.23,-0.33,0.33,-0.2,-0.1,-0.55,0.32,0.13,-0.34,-0.55,0.1,0.25,0.18,-0.05,0.27,0.49,0.04,1/7/4/0@40/16/0/0@6/7/99/0 %  ytyal039c
