@RELATION 'church0.names'

@ATTRIBUTE chip_affymetrix_chip {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs numeric
@ATTRIBUTE a_fy4_a numeric
@ATTRIBUTE alpha_fy5_alpha numeric
@ATTRIBUTE gal_gal numeric
@ATTRIBUTE heat_heat numeric
@ATTRIBUTE rel_alpha_fy5_alpha numeric
@ATTRIBUTE rel_gal_gal numeric
@ATTRIBUTE rel_heat_heat numeric
@ATTRIBUTE avg_abund numeric
@ATTRIBUTE median_deviation_of_log_fc_gal numeric
@ATTRIBUTE sig_gal numeric
@ATTRIBUTE sig_and_fc_gal numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha numeric
@ATTRIBUTE sig_fy5_alpha numeric
@ATTRIBUTE sig_and_fc_fy5_alpha numeric
@ATTRIBUTE median_deviation_of_log_fc_heat numeric
@ATTRIBUTE sig_heat numeric
@ATTRIBUTE sig_and_fc_heat numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha numeric
@ATTRIBUTE thrshld_1=below_detection_gal numeric
@ATTRIBUTE thrshld_1=below_detection_heat numeric
@ATTRIBUTE thrshld_gal numeric
@ATTRIBUTE thrshld_fy5_alpha numeric
@ATTRIBUTE thrshld_heat numeric
@ATTRIBUTE below_threshold_in_all_conditions numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
B,21,0.1,3.67,0.1,0.1,1.22,0,0,0.97,0.02,0,0,0.37,3.3,1,0.18,0,0,1,?,1,1,5,2,5,0,14/4/3/3@40/27/0/0 %  ytygl089c
A,20,0.1,0.51,0.1,0.1,0.67,0,0,0.19,0.09,0,0,0.25,2.7,1,0.02,0,0,1,?,1,1,5,2,5,0,14/4/3/3@4/5/1/4@40/10/0/0 %  ytycl066w
A,20,0.1,0.37,0.1,0.1,0.63,0,0,0.16,0.09,0,0,0.25,2.5,1,0.02,0,0,1,?,1,1,5,2,5,0,14/4/3/3@4/5/1/4@40/10/0/0 %  ytycr040w
C,21,0.4,1.74,0.3,0.2,0.48,0,0,0.65,0.13,0,0,0.41,1.2,1,0.17,0,0,1,?,1,1,5,?,5,0,14/4/3/3@40/2/0/0 %  ytyjr004c
B,21,0.44,1.09,0.48,0.69,0.38,0.14,0.15,0.68,0.16,0.9,0,0.23,1.7,1,0.17,0.88,0,?,?,?,?,?,?,?,0,1/3/4/0@40/3/0/0 %  ytyhr128w
B,20,1.03,1.98,2.78,1.45,0.35,0.33,0.04,1.81,0.19,1.7,1,0.22,1.6,1,0.3,0.13,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyhr141c
B,21,4.86,9.72,0.89,5.39,0.32,-0.73,0.03,5.22,0.14,5.2,1,0.29,1.1,1,0.16,0.19,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytygl030w
C,21,0.97,2.84,0.88,1.24,0.32,-0.14,-0.1,1.48,0.28,0.5,0,0.26,1.2,1,0.25,0.4,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytylr029c
B,20,0.21,0.48,0.3,0.44,0.31,0,0.25,0.36,0.17,0,0,0.17,1.8,1,0.08,3.13,1,?,?,?,?,5,2,2,0,11/1/0/0@4/1/4/0@40/10/0/0 %  ytygr159c
B,20,2.34,4.11,5.06,1.76,0.28,0.24,-0.25,3.32,0.18,1.3,1,0.22,1.3,1,0.28,0.89,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyil052c
C,20,0.65,1.53,0.63,1.57,0.28,0,0.23,1.10,0.15,0,0,0.2,1.4,1,0.2,1.15,1,?,?,?,?,5,?,?,0,1/6/1/0@40/7/0/0 %  ytylr056w
B,20,0.19,0.54,0.56,0.6,0.26,0.42,0.39,0.47,0.3,1.4,1,0.3,0.9,0,0.33,1.18,1,?,?,?,?,?,?,?,0,40/10/0/0@40/7/0/0@6/13/1/0 %  ytygr232w
B,20,4.77,8.84,5.2,3.77,0.26,0.11,-0.09,5.65,0.13,0.8,0,0.13,2,1,0.23,0.39,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyil133c
C,21,0.77,1.74,1.09,1.29,0.25,0.14,0.06,1.22,0.21,0.7,0,0.29,0.9,0,0.22,0.27,0,?,?,?,?,?,?,?,0,1/5/4/0@10/1/99/0 %  ytylr150w
C,20,1.16,2.37,0.72,2.02,0.24,-0.23,0.17,1.57,0.16,1.4,1,0.24,1,1,0.17,1,0,?,?,?,?,?,2,?,0,4/7/0/0@40/10/0/0@40/3/0/0@8/1/0/0 %  ytylr293c
D,20,0.48,0.86,0.68,0.6,0.23,0.14,-0.04,0.66,0.17,0.8,0,0.14,1.6,1,0.17,0.24,0,?,?,?,?,?,?,?,0,6/4/0/0 %  ytymr292w
B,52,2.22,5.11,5.37,2.57,0.22,0.14,0.01,3.82,0.25,0.6,0,0.18,1.2,1,0.15,0.07,0,?,?,?,?,?,?,?,0,5/1/0/0 %  ytyfr031c-a
C,20,0.4,1.25,1.27,0.4,0.22,0.24,0,0.82,0.32,0.8,0,0.24,0.9,0,0.17,0,0,1,?,?,?,2,2,5,0,1/5/1/0@40/3/0/0 %  ytyjl153c
B,50,1.82,3.53,1.68,1.83,0.21,0.03,0.07,2.22,0.22,0.1,0,0.18,1.2,1,0.15,0.47,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyer117w
D,21,0.54,0.64,0.51,1.2,0.21,0.01,0.43,0.72,0.09,0.1,0,0.23,0.9,0,0.11,3.91,1,?,?,?,?,?,?,?,0,3/3/1/0@40/10/0/0 %  ytymr276w
D,20,0.1,0.21,0.16,0.11,0.21,0.1,-0.02,0.15,0.23,0.4,0,0.21,1,1,0.33,0.06,0,1,?,?,?,2,2,?,0,3/3/1/0@4/1/4/0@40/10/0/0 %  ytyol021c
D,20,0.42,0.76,0.87,0.66,0.21,0.22,0.11,0.68,0.19,1.2,1,0.2,1.1,1,0.11,1,0,?,?,?,?,?,?,2,0,4/1/4/0@40/10/0/0 %  ytyor310c
A,26,1.45,3.12,2.91,2.15,0.2,0.23,0.01,2.41,0.08,2.9,1,0.07,2.9,1,0.11,0.09,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytydr450w
B,26,8.69,15.9,13.1,7.97,0.2,0.05,-0.14,11.42,0.12,0.4,0,0.15,1.3,1,0.2,0.7,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyil018w
C,20,1.04,1.8,0.83,1.68,0.19,-0.18,0.14,1.34,0.11,1.6,0,0.11,1.7,0,0.1,1.4,0,?,?,?,?,?,?,?,0,30/1/0/0@40/3/0/0@5/4/0/0 %  ytylr249w
B,21,1.89,1.66,1.81,2.69,0.18,0.14,0.29,2.01,0.18,0.8,0,0.16,1.1,0,0.24,1.21,1,?,?,?,?,?,?,?,0,1/5/1/0@40/1/0/0 %  ytygr282c
C,21,1.14,2.89,1.57,3.83,0.18,-0.03,0.3,2.36,0.2,0.2,0,0.15,1.2,0,0.22,1.36,1,?,?,?,?,?,?,?,0,14/4/3/1@40/4/0/0@6/10/0/0@8/19/0/0 %  ytyll050c
C,20,4.08,7.94,3.51,3.94,0.18,-0.24,-0.1,4.87,0.1,2.4,1,0.13,1.4,0,0.13,0.77,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0@6/13/1/0 %  ytylr167w
D,20,7,11.3,9.27,5.75,0.18,0.15,-0.08,8.32,0.15,1,0,0.06,3,0,0.09,0.89,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyor182c
B,20,6.83,6.49,7.25,4.63,0.17,0.05,-0.09,6.30,0.14,0.4,0,0.16,1.1,0,0.18,0.5,0,?,?,?,?,?,?,?,0,40/25/0/0@67/4/1/2@67/50/22/0 %  ytyhr026w
B,21,2.45,3.98,4.11,3.06,0.17,0.12,0.02,3.40,0.19,0.6,0,0.2,0.9,0,0.28,0.07,0,?,?,?,?,?,?,?,0,30/16/0/0 %  ytyil051c
C,29,2.86,8.27,4.07,5.08,0.17,-0.12,-0.09,5.07,0.21,0.6,0,0.16,1.1,0,0.15,0.6,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytykr057w
D,21,1.57,2.13,2.34,2.31,0.17,0.15,0.19,2.09,0.09,1.7,0,0.09,1.9,0,0.1,1.9,0,?,?,?,?,?,?,?,0,14/1/0/0@3/3/1/0@3/3/3/0 %  ytynl327w
D,20,0.32,0.48,0.66,0.47,0.17,0.34,0.23,0.48,0.11,3.1,1,0.11,1.5,0,0.12,1.92,1,?,?,?,?,?,?,?,0,1/7/1/0 %  ytyol143c
B,21,0.41,1.08,0.46,0.64,0.16,0,-0.09,0.65,0.05,0,0,0.14,1.1,0,0.09,1,0,?,?,?,?,5,?,?,0,4/5/1/1@40/10/0/0 %  ytyhr041c
D,34,1.48,1.54,2.52,1.93,0.16,0.27,0.22,1.87,0.1,2.7,1,0.14,1.1,0,0.15,1.47,1,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytynl067w
D,20,0.18,0.28,0.12,0.44,0.16,-0.22,0.2,0.26,0.14,1.6,1,0.21,0.8,0,0.14,1.43,1,?,?,?,?,?,2,?,0,14/4/3/3@40/2/0/0 %  ytynr044w
D,20,0.47,0.68,0.7,0.86,0.16,0.13,0.21,0.68,0.11,1.2,0,0.12,1.3,0,0.1,2.1,1,?,?,?,?,?,?,?,0,40/10/0/0@40/7/0/0@6/13/1/0 %  ytyor157c
A,21,5.12,7.72,8.36,5.04,0.15,0.21,-0.01,6.56,0.08,2.6,1,0.07,2.1,0,0.11,0.09,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytydr500c
C,41,2.25,3.36,1.27,2.04,0.15,-0.19,-0.05,2.23,0.13,1.5,0,0.11,1.4,0,0.17,0.29,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0@6/10/0/0 %  ytylr048w
C,20,4.37,6.39,3.19,3.25,0.15,-0.26,-0.1,4.30,0.14,1.9,1,0.12,1.3,0,0.14,0.71,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytylr448w
D,21,0.42,0.43,0.49,0.7,0.15,0.17,0.37,0.51,0.16,1.1,0,0.12,1.3,0,0.13,2.85,1,?,?,?,?,2,?,?,0,6/13/99/0 %  ytymr264w
D,20,0.29,0.4,0.33,0.49,0.15,0.1,0.22,0.38,0.23,0.4,0,0.11,1.4,0,0.15,1.47,1,?,?,?,?,?,?,?,0,40/3/0/0@5/4/0/0 %  ytyor260w
C,19,0.84,2.28,0.97,1.38,0.14,-0.06,-0.02,1.37,0.09,0.7,0,0.19,0.7,0,0.25,0.08,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyml026c
D,20,1.65,2.6,2.59,2.87,0.14,0.13,0.24,2.43,0.11,1.2,0,0.12,1.2,0,0.14,1.71,1,?,?,?,?,?,?,?,0,40/25/0/0@6/13/4/0 %  ytymr297w
D,20,0.48,0.67,0.62,0.73,0.14,0.03,-0.02,0.63,0.33,0.1,0,0.25,0.6,0,0.26,0.08,0,?,?,?,?,?,?,?,0,67/7/0/0 %  ytyor271c
B,26,1.35,2.2,0.73,1.46,0.13,0.14,-0.03,1.44,0.18,0.8,0,0.18,0.7,0,0.19,0.16,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytygl147c
D,20,0.1,0.16,0.1,0.08,0.13,0,0,0.11,0.19,0,0,0.18,0.7,0,0.24,0,0,1,?,?,?,4,2,4,0,4/1/4/0 %  ytynl075w
D,20,4.35,9.95,7.86,6.05,0.13,0.07,0,7.05,0.12,0.6,0,0.12,1.1,0,0.09,0,0,?,?,?,?,?,?,?,0,40/3/0/0@6/1/0/0 %  ytynl135c
D,21,0.45,0.74,0.57,0.93,0.13,0.07,0.17,0.67,0.08,0.9,0,0.13,1,0,0.14,1.21,0,?,?,?,?,?,?,?,0,1/1/1/0@1/3/1/0@1/3/4/0 %  ytyol061w
D,21,1.27,1.24,1.21,0.99,0.13,0.18,0.05,1.18,0.13,1.4,0,0.24,0.5,0,0.12,0.42,0,?,?,?,?,?,?,?,0,14/4/3/5@40/3/0/0@5/4/0/0 %  ytyol139c
D,20,1.16,1.62,1.59,0.81,0.13,0.11,-0.07,1.30,0.12,0.9,0,0.07,1.9,0,0.16,0.44,0,?,?,?,?,?,?,?,0,11/1/0/0@40/1/0/0 %  ytyor010c
D,20,0.65,0.75,0.74,0.58,0.13,0.08,-0.09,0.68,0.09,0.9,0,0.13,1,0,0.15,0.6,0,?,?,?,?,?,?,?,0,40/3/0/0@5/4/0/0 %  ytyor276w
A,21,0.28,0.5,0.55,0.36,0.12,0.18,0,0.42,0.11,1.6,0,0.05,2.4,0,0.1,0,0,?,?,?,?,?,?,5,0,6/7/0/0 %  ytydr510w
B,21,0.88,1.37,1.32,1.06,0.12,0,0.03,1.16,0.06,0,0,0.11,1.1,0,0.11,0.27,0,?,?,?,?,?,?,?,0,40/10/3/0 %  ytygr285c
B,29,0.39,0.61,0.66,0.98,0.12,0.14,0.27,0.66,0.19,0.7,0,0.17,0.7,0,0.16,1.69,1,?,?,?,?,?,?,?,0,11/99/0/0@14/4/3/5@40/10/0/0@40/7/0/0@6/13/1/0 %  ytyjl001w
C,20,1.33,2.24,0.68,1.53,0.12,-0.23,0.02,1.45,0.16,1.4,1,0.1,1.2,0,0.12,0.17,0,?,?,?,?,?,?,?,0,1/6/1/0@14/4/3/1 %  ytylr372w
D,21,2.73,4.46,4.22,3.77,0.12,0.09,0.07,3.80,0.11,0.8,0,0.24,0.5,0,0.11,0.64,0,?,?,?,?,?,?,?,0,14/4/3/1@40/4/0/0 %  ytyor122c
A,20,2.42,4.59,2.31,2.23,0.11,-0.05,-0.03,2.89,0.06,0.8,0,0.09,1.2,0,0.06,0.5,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytydl082w
B,20,0.56,0.64,0.39,1,0.11,0.03,0.23,0.65,0.2,0.2,0,0.18,0.6,0,0.16,1.44,1,?,?,?,?,?,?,?,0,40/3/0/0@5/10/0/0 %  ytyfl022c
B,20,0.4,0.55,0.7,0.24,0.11,0.26,-0.2,0.47,0.16,1.6,1,0.1,1.1,0,0.1,2,1,?,?,?,?,?,?,?,0,13/1/1/1@67/4/1/1@8/19/0/0 %  ytyhr175w
B,20,0.16,0.2,0.21,0.14,0.11,0.08,0,0.18,0.12,0.7,0,0.1,1.1,0,0.18,0,0,?,?,?,?,?,2,5,0,11/7/0/0@67/28/0/0 %  ytyil121w
D,20,0.37,0.56,1.89,0.93,0.11,0.6,0.2,0.94,0.19,3.2,1,0.16,0.7,0,0.19,1.05,1,?,?,?,?,?,?,?,0,1/5/1/0@2/16/0/0 %  ytymr318c
D,20,0.14,0.15,0.19,0.26,0.11,0.03,0.27,0.19,0.25,0.1,0,0.2,0.6,0,0.13,2.08,1,?,?,?,?,2,2,?,0,1/5/1/0@1/5/4/0 %  ytyol136c
D,20,0.12,0.21,0.24,0.33,0.11,0.01,0.23,0.23,0.25,0,0,0.22,0.5,0,0.13,1.77,1,?,?,?,?,?,?,2,0,30/1/0/0 %  ytyor092w
D,66,1.2,1.65,1.14,1.08,0.11,-0.11,-0.16,1.27,0.13,0.8,0,0.1,1.1,0,0.14,1.14,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyor312c
D,20,0.12,0.24,0.22,0.29,0.11,0.13,0.12,0.22,0.15,0.9,0,0.24,0.5,0,0.19,0.63,0,?,?,?,?,?,2,?,0,67/50/25/0 %  ytypl058c
B,20,0.55,1.02,0.16,0.99,0.1,-0.43,0.21,0.68,0.25,1.7,1,0.08,1.3,0,0.15,1.4,1,?,?,?,?,?,?,?,0,40/9/0/0@8/7/0/0 %  ytyfr051c
